HMDB_ID	NAME	GENE_NAME
HMDB0000243	Pyruvic acid	SLC16A10
HMDB0000243	Pyruvic acid	SLCO2A1
HMDB0000094	Citric acid	SLCO2B1
HMDB0000187	L-Serine	SLC16A10
HMDB0000574	L-Cysteine	SLC7A8
HMDB0000574	L-Cysteine	SLC16A10
HMDB0000696	L-Methionine	SLC16A10
HMDB0000168	L-Asparagine	SLC1A5
HMDB0000168	L-Asparagine	SLC38A3
HMDB0000191	L-Aspartic acid	SLC16A10
HMDB0000177	L-Histidine	SLC38A3
HMDB0000177	L-Histidine	SLC16A10
HMDB0000883	L-Valine	SLC16A10
HMDB0000172	L-Isoleucine	SLC16A10
HMDB0000062	L-Carnitine	SLCO1B1
HMDB0000062	L-Carnitine	SLC22A5
HMDB0000062	L-Carnitine	SLC22A4
HMDB0000062	L-Carnitine	SLC22A16
HMDB0000167	L-Threonine	SLC16A10
HMDB0001043	Arachidonic acid	SLC27A1
HMDB0001043	Arachidonic acid	SLCO2A1
HMDB0000216	Norepinephrine	SLC22A5
HMDB0000216	Norepinephrine	SLC6A2
HMDB0000216	Norepinephrine	SLC22A1
HMDB0000216	Norepinephrine	SLC22A2
HMDB0000216	Norepinephrine	SLC22A3
HMDB0000220	Palmitic acid	SLC27A1
HMDB0000181	L-Dopa	SLC15A1
HMDB0000181	L-Dopa	SLC16A10
HMDB0000248	Thyroxine	SLCO1C1
HMDB0000248	Thyroxine	SLCO1B1
HMDB0000273	Thymidine	SLC22A1
HMDB0000273	Thymidine	SLC28A3
HMDB0000294	Urea	SLC14A2
HMDB0000294	Urea	SLC14A1
HMDB0000806	Myristic acid	SLC27A1
HMDB0000827	Stearic acid	SLC27A1
HMDB0000538	Adenosine triphosphate	ATP7B
HMDB0000538	Adenosine triphosphate	ATP7A
HMDB0000538	Adenosine triphosphate	TAP1
HMDB0000131	Glycerol	ABCB1
HMDB0001852	all-trans-Retinoic acid	CRABP1
HMDB0001852	all-trans-Retinoic acid	CRABP2
HMDB0000063	Cortisol	ABCB1
HMDB0000063	Cortisol	ABCG2
HMDB0000063	Cortisol	SLCO1A2
HMDB0001830	Progesterone	ABCC1
HMDB0001830	Progesterone	ABCB11
HMDB0001830	Progesterone	ABCB1
HMDB0001830	Progesterone	SLC10A1
HMDB0001830	Progesterone	SLC22A1
HMDB0001830	Progesterone	SLC22A2
HMDB0001830	Progesterone	SLC22A3
HMDB0000518	Chenodeoxycholic acid	SLCO1B3
HMDB0000518	Chenodeoxycholic acid	SLCO1B1
HMDB0000518	Chenodeoxycholic acid	ABCC3
HMDB0000518	Chenodeoxycholic acid	ABCB11
HMDB0000518	Chenodeoxycholic acid	SLC10A2
HMDB0000518	Chenodeoxycholic acid	SLC10A1
HMDB0000518	Chenodeoxycholic acid	SLCO1A2
HMDB0000518	Chenodeoxycholic acid	SLCO4A1
HMDB0000077	Dehydroepiandrosterone	SLCO1B3
HMDB0000077	Dehydroepiandrosterone	SLCO1B1
HMDB0000077	Dehydroepiandrosterone	SLC22A7
HMDB0000588	Sodium	SLC22A5
HMDB0000588	Sodium	SLC1A5
HMDB0000588	Sodium	SLC6A2
HMDB0000588	Sodium	SLC6A4
HMDB0000588	Sodium	SLC29A1
HMDB0000588	Sodium	SLC5A7
HMDB0000588	Sodium	SLC7A8
HMDB0000588	Sodium	SLC22A4
HMDB0000588	Sodium	SLC10A2
HMDB0000588	Sodium	SLC10A1
HMDB0000588	Sodium	SLC22A16
HMDB0000588	Sodium	SLC12A2
HMDB0000588	Sodium	SLC4A4
HMDB0000588	Sodium	SLC12A1
HMDB0000588	Sodium	SLC38A3
HMDB0000588	Sodium	SLC4A10
HMDB0000588	Sodium	SLC4A7
HMDB0000588	Sodium	SLC28A3
HMDB0000588	Sodium	SLC16A10
HMDB0000588	Sodium	SLC4A8
HMDB0000588	Sodium	SLC4A5
HMDB0000588	Sodium	SLC22A6
HMDB0000588	Sodium	SLC22A7
HMDB0000492	Chloride ion	SLC5A7
HMDB0000492	Chloride ion	SLC12A5
HMDB0000492	Chloride ion	SLC12A2
HMDB0000492	Chloride ion	SLC12A1
HMDB0000492	Chloride ion	SLC12A4
HMDB0000492	Chloride ion	SLC12A6
HMDB0000492	Chloride ion	SLC12A7
HMDB0000492	Chloride ion	SLC4A10
HMDB0000042	Acetic acid	SLC16A1
HMDB0000042	Acetic acid	SLCO2B1
HMDB0000056	beta-Alanine	SLC16A10
HMDB0000039	Butyric acid	SLC16A1
HMDB0001257	Spermidine	SLC22A4
HMDB0001257	Spermidine	SLC22A1
HMDB0000161	L-Alanine	SLC7A8
HMDB0000161	L-Alanine	SLC38A3
HMDB0000161	L-Alanine	SLC36A1
HMDB0000161	L-Alanine	SLC16A10
HMDB0001341	ADP	ATP7B
HMDB0001341	ADP	ATP7A
