HMDB.ID	Metabolite.name	Receptor_gene.ID	Receptor_symbol
HMDB0000641	L-Glutamine	209837	Slc38a5
HMDB0000641	L-Glutamine	76257	Slc38a3
HMDB0000641	L-Glutamine	67760	Slc38a2
HMDB0000641	L-Glutamine	105727	Slc38a1
HMDB0000641	L-Glutamine	20514	Slc1a5
HMDB0000660	D-Fructose	56017	Slc2a8
HMDB0000660	D-Fructose	435818	Slc2a7
HMDB0000660	D-Fructose	56485	Slc2a5
HMDB0000660	D-Fructose	20526	Slc2a2
HMDB0000673	Linoleic acid	63873	Trpv4
HMDB0000673	Linoleic acid	26459	Slc27a5
HMDB0000687	L-Leucine	20539	Slc7a5
HMDB0000687	L-Leucine	215113	Slc43a2
HMDB0000687	L-Leucine	72401	Slc43a1
HMDB0000687	L-Leucine	17254	Slc3a2
HMDB0000687	L-Leucine	20514	Slc1a5
HMDB0000696	L-Methionine	20539	Slc7a5
HMDB0000696	L-Methionine	215113	Slc43a2
HMDB0000696	L-Methionine	72401	Slc43a1
HMDB0000761	Lithocholic acid	22337	Vdr
HMDB0000761	Lithocholic acid	227289	Gpbar1
HMDB0000806	Myristic acid	26458	Slc27a2
HMDB0000827	Stearic acid	26459	Slc27a5
HMDB0000870	Histamine	20520	Slc22a5
HMDB0000870	Histamine	20519	Slc22a3
HMDB0000870	Histamine	56517	Slc22a21
HMDB0000870	Histamine	20518	Slc22a2
HMDB0000870	Histamine	225192	Hrh4
HMDB0000870	Histamine	99296	Hrh3
HMDB0000870	Histamine	15466	Hrh2
HMDB0000870	Histamine	15465	Hrh1
HMDB0000883	L-Valine	215113	Slc43a2
HMDB0000883	L-Valine	72401	Slc43a1
HMDB0000895	Acetylcholine	20517	Slc22a1
HMDB0000895	Acetylcholine	11449	Chrng
HMDB0000895	Acetylcholine	11448	Chrne
HMDB0000895	Acetylcholine	11447	Chrnd
HMDB0000895	Acetylcholine	108015	Chrnb4
HMDB0000895	Acetylcholine	108043	Chrnb3
HMDB0000895	Acetylcholine	11444	Chrnb2
HMDB0000895	Acetylcholine	11443	Chrnb1
HMDB0000895	Acetylcholine	231252	Chrna9
HMDB0000895	Acetylcholine	11441	Chrna7
HMDB0000895	Acetylcholine	11440	Chrna6
HMDB0000895	Acetylcholine	110835	Chrna5
HMDB0000895	Acetylcholine	11438	Chrna4
HMDB0000895	Acetylcholine	110834	Chrna3
HMDB0000895	Acetylcholine	110902	Chrna2
HMDB0000895	Acetylcholine	504186	Chrna10
HMDB0000895	Acetylcholine	11435	Chrna1
HMDB0000895	Acetylcholine	213788	Chrm5
HMDB0000895	Acetylcholine	12672	Chrm4
HMDB0000895	Acetylcholine	12671	Chrm3
HMDB0000895	Acetylcholine	243764	Chrm2
HMDB0000895	Acetylcholine	12669	Chrm1
HMDB0000895	Acetylcholine	11423	Ache
HMDB0000929	L-Tryptophan	234967	Slc36a4
HMDB0000929	L-Tryptophan	72472	Slc16a10
HMDB0000929	L-Tryptophan	217302	Gpr142
HMDB0000935	Uridine diphosphate glucuronic acid	140795	P2ry14
HMDB0000961	Farnesyl pyrophosphate	246788	Trpv3
HMDB0000990	Acetaldehyde	277328	Trpa1
HMDB0001043	Arachidonic acid	63873	Trpv4
HMDB0001043	Arachidonic acid	26459	Slc27a5
HMDB0001085	Leukotriene B4	19013	Ppara
HMDB0001149	5-Aminolevulinic acid	70026	Tspo2
HMDB0001178	Adenosine diphosphate ribose	28240	Trpm2
HMDB0001178	Adenosine diphosphate ribose	12494	Cd38
HMDB0001198	Leukotriene C4	574402	Gpr17
HMDB0001201	Guanosine diphosphate	16523	Kcnj8
HMDB0001217	4alpha-Methylzymosterol	19220	Ptgfr
HMDB0001217	4alpha-Methylzymosterol	19219	Ptger4
HMDB0001217	4alpha-Methylzymosterol	19218	Ptger3
HMDB0001217	4alpha-Methylzymosterol	19217	Ptger2
HMDB0001217	4alpha-Methylzymosterol	19216	Ptger1
HMDB0001217	4alpha-Methylzymosterol	14764	Ptgdr2
HMDB0001220	Prostaglandin E2	20518	Slc22a2
HMDB0001220	Prostaglandin E2	20517	Slc22a1
HMDB0001220	Prostaglandin E2	19219	Ptger4
HMDB0001220	Prostaglandin E2	19217	Ptger2
HMDB0001220	Prostaglandin E2	19216	Ptger1
HMDB0001251	Lanosterol	381463	Nr1h5
HMDB0001251	Lanosterol	15466	Hrh2
HMDB0001256	Spermine	68667	Trpm4
HMDB0001256	Spermine	30805	Slc22a4
HMDB0001256	Spermine	20517	Slc22a1
HMDB0001256	Spermine	16518	Kcnj2
HMDB0001257	Spermidine	16518	Kcnj2
HMDB0001264	Dehydroascorbic acid	20528	Slc2a4
HMDB0001264	Dehydroascorbic acid	20527	Slc2a3
HMDB0001264	Dehydroascorbic acid	20525	Slc2a1
HMDB0001273	Guanosine triphosphate	16523	Kcnj8
HMDB0001311	D-Lactic acid	20501	Slc16a1
HMDB0001311	D-Lactic acid	243270	Hcar1
HMDB0001314	Cyclic GMP	15166	Hcn2
HMDB0001322	Oleoyl-CoA	16518	Kcnj2
HMDB0001341	ADP	310444	P2ry13
HMDB0001341	ADP	70839	P2ry12
HMDB0001341	ADP	18441	P2ry1
HMDB0001347	Isopentenyl pyrophosphate	277328	Trpa1
HMDB0001358	Retinal	20897	Stra6
HMDB0001358	Retinal	20183	Rxrg
HMDB0001358	Retinal	20182	Rxrb
HMDB0001358	Retinal	20181	Rxra
HMDB0001358	Retinal	19411	Rarg
HMDB0001358	Retinal	218772	Rarb
HMDB0001358	Retinal	19401	Rara
HMDB0001361	Carbon monoxide	239134	Gucy1b2
